code,assetid,type,src
q2body,do_20043485,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q2body_1468995586037.png
q5body,do_20043486,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q5body_1468995643702.png
q21body,do_20043487,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q21body_1468995709137.png
q24body,do_20043488,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q24body_1468995752684.png
q24optiona,do_20043489,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q24optiona_1468995817796.png
q24optionb,do_20043490,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q24optionb_1468995879653.png
q24optionc,do_20043491,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q24optionc_1468995927099.png
q24optiond,do_20043492,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q24optiond_1468995981921.png
q32body,do_20043493,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q32body_1468996037055.png
q33body,do_20043494,image,https://ekstep-public.s3-ap-southeast-1.amazonaws.com/content/q33body_1468996095292.png
